Character,Betweenness Centrality,PageRank,Degree
Aegon Targaryen,0.007352746203065695,0.003021573895460741,0.057034220532319393
Jaime Lannister,0.07971156221465404,0.01790889692468999,0.27756653992395436
Rhaella Targaryen,0.0005670422058847676,0.0013309930046209997,0.03231939163498099
Stannis Baratheon,0.05086471032304925,0.010624131938232372,0.15019011406844107
Willem Darry,5.8599270046252374e-05,0.0005767331039943002,0.013307984790874524
Jorah Mormont,0.04046754465913952,0.005092561760473454,0.08935361216730038
Sandor Clegane,0.008313637308550387,0.005221932478888707,0.11787072243346007
Tyrion Lannister,0.08708330452910776,0.0206539513939029,0.2661596958174905
Balon Greyjoy,0.007070374570022332,0.002750334392047301,0.03612167300380228
Rickard Stark,0.0007479659418876747,0.0010422930863310234,0.030418250950570342
Brandon Stark,0.00026900050504478185,0.001498608290192651,0.03231939163498099
Lyanna Stark,0.0006926955333127283,0.0012122550649026995,0.03231939163498099
Howland Reed,0.0002620164630404582,0.0006565290335373852,0.017110266159695818
Joffrey Baratheon,0.02373665954978587,0.015130446161909469,0.18631178707224336
Myrcella Baratheon,0.006472064967245637,0.004779473459020753,0.08555133079847908
Daeron I Targaryen,0.0038022813688212928,0.0014882874080199798,0.0038022813688212928
Edmure Tully,0.0063013159484968245,0.0053542957463084215,0.12547528517110265
Arthur Dayne,0.0006796055083590578,0.0012472514291388644,0.026615969581749048
Ashara Dayne,1.35652063951901e-06,0.00040788166498691934,0.0076045627376425855
Septa Mordane,0.00034275933374739527,0.001089747483835847,0.03802281368821293
Beth Cassel,0.0011883898835277774,0.0009370071066271618,0.055133079847908745
Jeyne Poole,0.007754604210406945,0.0018421061384567047,0.08555133079847908
Vayon Poole,0.0005216914916933494,0.0011283672174714262,0.043726235741444866
Aemon the Dragonknight,0.00475536636128486,0.00240757567540027,0.0076045627376425855
Gerold Hightower,0.0013790161522845383,0.0009564412440008182,0.03231939163498099
Boros Blount,0.002641529655662774,0.003474200323450106,0.09505703422053231
Meryn Trant,0.003251733125573147,0.004121590069267014,0.10456273764258556
Barristan Selmy,0.10088107776097552,0.008721275023029223,0.18250950570342206
Gage,0.00038259321128356977,0.0007639966509218477,0.04182509505703422
Mikken,0.0012823715210910475,0.0012785997433926964,0.060836501901140684
Hodor,0.004514481837319578,0.002497670635310998,0.06844106463878327
Renly Baratheon,0.013410901893130482,0.006576949176510305,0.11596958174904944
Petyr Baelish,0.008590378626152124,0.005817911216284709,0.155893536121673
Irri,0.0008280639704978442,0.003841612688000392,0.058935361216730035
Jhiqui,0.0009831862047912769,0.0038632387310003195,0.06273764258555133
Doreah,4.313040720479596e-05,0.001607740435908987,0.030418250950570342
Haggo,9.213843759310672e-06,0.0009429252523135777,0.028517110266159697
Cohollo,9.213843759310672e-06,0.0009999969783166926,0.028517110266159697
Qotho,9.213843759310672e-06,0.0009625427580524455,0.028517110266159697
Alyn,0.0005041175188890589,0.0010572339127679267,0.049429657794676805
Baelor Targaryen,0.007590077856237553,0.0014010870965972372,0.005703422053231939
Varys,0.007917244080196962,0.004903591263468822,0.1444866920152091
Rhaenys Targaryen,0.002831988841762838,0.0017296955428114393,0.03802281368821293
Yoren,0.004343270820629439,0.0017715358260852268,0.057034220532319393
Morrec,0.00019295881886515875,0.000713197525038666,0.019011406844106463
unnamed assassin,0.0,0.0004333389492373822,0.005703422053231939
Hallis Mollen,0.0011601052052311333,0.0009316556210758438,0.045627376425855515
Mycah,0.0,0.0005635450323388965,0.0076045627376425855
Ilyn Payne,0.003921406700490479,0.002123858609882654,0.10076045627376426
Naerys Targaryen,0.0,0.0016596058683672262,0.0038022813688212928
Raymun Darry,0.0001350875293880012,0.0006216483202805104,0.03231939163498099
three-eyed Crow,0.00021833243556884915,0.0004536078738235224,0.0076045627376425855
Aron Santagar,0.0004951382105791261,0.0006139421817037123,0.053231939163498096
